Ticker,year,total_assets,current_assets,current_liabilities,total_liabilities,total_debt,total_equity,revenue,gross_profit,ebit,interest_expense,net_income,operating_cash_flow,capital_expenditures,price_close,shares_outstanding,eps_basic,bvps,dividend_per_share
BDO.PS,2018,3.02225E+12,0,0,2.6941E+12,1.53653E+11,3.27372E+11,1.31423E+11,0,43131000000,0,32639000000,90312000000,8135000000,107.174879,5297189036,6.11347,60.82886561,1
BDO.PS,2019,3.18886E+12,0,0,2.81827E+12,1.77554E+11,3.68932E+11,1.58857E+11,0,58604000000,0,44168000000,-63774000000,4397000000,129.46201,5306056668,8.27145,68.55976533,1
BDO.PS,2020,3.3749E+12,0,0,2.98188E+12,2.21445E+11,3.91423E+11,1.7164E+11,0,45462000000,23331000,28254000000,1.21582E+11,3089000000,87.509764,5309517341,5.25751,72.75105725,1
BDO.PS,2021,3.62375E+12,0,0,3.1992E+12,2.16518E+11,4.22934E+11,1.72508E+11,0,55260000000,13533000,42855000000,1.28186E+11,3853000000,98.899143,5311080927,7.99386,78.66270648,1
BDO.PS,2022,4.07471E+12,0,0,3.61325E+12,2.12235E+11,4.59332E+11,1.76859E+11,0,73564000000,22861000,57234000000,2.5255E+11,3888000000,104.735805,5312582427,10.67568,85.29787655,1.5
BDO.PS,2023,4.47766E+12,0,0,3.95911E+12,2.02616E+11,5.15916E+11,2.3036E+11,0,95654000000,59317000,73560000000,1.74603E+11,6843000000,129.309579,5316846948,13.73684,95.87185882,3
BDO.PS,2024,4.87605E+12,0,0,4.29866E+12,2.75471E+11,5.74671E+11,2.28522E+11,0,1.03267E+11,85443000,82220000000,-52761000000,9634000000,142.686432,5320783507,15.342,106.8434751,3.75
BEL.PS,2015,42737030000,11905789000,5979731000,17000528000,6102947000,22603972000,5351677000,3823625000,2997893000,273977000,1744441000,919423000,366257000,2.91,10518853857,0.15026,2.14890066,0.095
BEL.PS,2016,41564958000,10622588000,8001556000,13821176000,6741234000,24583824000,6321508000,4717004000,3608914000,355779000,3096123000,3334873000,134661000,3.2,10498679857,0.26624,2.341610977,0.095
BEL.PS,2017,43733693000,14477550000,5655713000,13372519000,8834255000,27153197000,8012060000,6152391000,4541791000,503665000,3510641000,4407818000,493632000,3.88,10498679857,0.28225,2.586343938,0.12
BEL.PS,2018,42491086000,9773186000,5730273000,12645855000,7537821000,26470806000,8515012000,6364015000,4558409000,464861000,3225134000,4264040000,66567000,2.31,9763126297,0.26712,2.711304268,0
BEL.PS,2019,44771868000,11719573000,5286220000,12910479000,7465063000,28430777000,7496218000,5315359000,3789065000,478880000,2923727000,4300102000,45323000,1.99,9763126297,0.27452,2.912056665,0.12
BEL.PS,2020,49955980000,13108405000,5133553000,19521863000,13779178000,27629970000,4173400000,2238772000,797458000,559570000,891701000,142305000,106064000,1.71,9763126297,0.10602,2.830033041,0.12
BEL.PS,2021,51027577000,12336229000,4164997000,18018144000,13422111000,30263969000,3420934000,1372494000,507804000,603832000,745202000,579330000,26817000,1.35,9763126297,0.06109,3.099823569,0
BEL.PS,2022,52757721000,12929760000,2616039000,16244859000,11633665000,33858904000,5419273000,3286281000,2348145000,516342000,1710457000,2114149000,22656000,1.22,9696463297,0.14779,3.49188183,0
BEL.PS,2023,55710750000,11658655000,5532205000,16294668000,11667120000,36526436000,5601375000,3706483000,2764547000,536971000,2423185000,3974523000,564380000,1.17,9696464297,0.19942,3.766985045,0
BEL.PS,2024,57473710000,12303110000,4543008000,17676775000,13156831000,39404548000,5890767000,4011296000,3111032000,774280000,2425588000,4171389000,134232000,1.66,9696464297,0.24718,4.063805816,0
BH.PS,2015,102517729,56517729,3545290,3545290,0,98972439,3790438,3100000,691216,0,630985,-47068,0,669.5,500000,1.26197,197.944878,0
BH.PS,2016,102757843,48757843,3962002,3962002,0,98795841,3001053,3000000,-116387,0,-176598,92461,0,1140,500000,-0.3532,197.591682,0
